A;file:Zaborowski_MBC.djvu;Egzemplarz A; ※ wydanie 1
1;file:Zaborowski_MBC.djvu?djvuopts&page=1;Egzemplarz A; ※ strony A
⁊;file:Zaborowski_MBC.djvu?djvuopts=&highlight=442,1338,50,60&page=1;; ※ et
polonicũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=669,1342,248,63&page=1;;※ Polonicum
q̄ꝫ̄;file:Zaborowski_MBC.djvu?djvuopts=&highlight=456,1261,77,84&page=1;;※ quam
carmē;file:Zaborowski_MBC.djvu?djvuopts=&highlight=202,1225,135,65&page=1;;※ Carmen
sarmaticã;file:Zaborowski_MBC.djvu?djvuopts=&highlight=145,1167,243,66&page=1;;※ Sarmaticam
modū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=683,1174,141,54&page=1;;※ modum
ꝓpera;file:Zaborowski_MBC.djvu?djvuopts=&highlight=388,950,128,52&page=1;;※ propera
&;file:Zaborowski_MBC.djvu?djvuopts=&highlight=526,954,35,52&page=1;; ※ et
mãibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=561,954,133,58&page=1;;※ manibus
libellũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=850,944,150,63&page=1;;※ libellum
formã;file:Zaborowski_MBC.djvu?djvuopts=&highlight=366,896,145,54&page=1;;※ formam
ꝗ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=503,884,53,66&page=1;;※ qui
at;file:Zaborowski_MBC.djvu?djvuopts=&highlight=675,897,67,54&page=1;;※ atque
vt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=165,822,101,85&page=1;;※ vtque
tuę;file:Zaborowski_MBC.djvu?djvuopts=&highlight=431,830,80,60&page=1;;※ tuae
quęlibet;file:Zaborowski_MBC.djvu?djvuopts=&highlight=510,833,163,53&page=1;;※ quaelibet
em̃;file:Zaborowski_MBC.djvu?djvuopts=&highlight=379,717,80,62&page=1;;※ enim
cęli;file:Zaborowski_MBC.djvu?djvuopts=&highlight=450,721,76,62&page=1;;※ caeli
sarmatica;file:Zaborowski_MBC.djvu?djvuopts=&highlight=598,648,242,81&page=1;;※ sarmaticaque
2;file:Zaborowski_MBC.djvu?djvuopts&page=2;Egzemplarz A; ※ strony A
ſcribẽdi;file:Zaborowski_MBC.djvu?djvuopts=&highlight=765,1625,149,46&page=2;; ※ scribendi
⁊;file:Zaborowski_MBC.djvu?djvuopts=&highlight=911,1625,46,49&page=2;; ※ et
polonicũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1099,1614,183,63&page=2;;※ Polonicum
qꝫ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=813,1546,51,68&page=2;;※ quam
vriliimꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=862,1562,185,46&page=2;;※ vtilissimus
uigīti;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1051,1560,143,57&page=2;;※ uiginti
noĩe;file:Zaborowski_MBC.djvu?djvuopts=&highlight=665,1497,88,51&page=2;;※ nomine
⁊;file:Zaborowski_MBC.djvu?djvuopts=&highlight=759,1497,37,45&page=2;; ※ et
differẽtes;file:Zaborowski_MBC.djvu?djvuopts=&highlight=913,1496,192,52&page=2;;※ differentes
ponũt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1209,1488,77,68&highlight=436,1428,90,62&page=2;; ※ ponunt
q̇a;file:Zaborowski_MBC.djvu?djvuopts=&highlight=570,1362,52,71&page=2;; ※ quia
⁊;file:Zaborowski_MBC.djvu?djvuopts=&highlight=625,1373,30,44&page=2;; ※ et
nr̃m;file:Zaborowski_MBC.djvu?djvuopts=&highlight=650,1370,98,50&page=2;;※ nostrum
põt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1131,1365,71,59&page=2;;※ potest
qnätũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=506,1301,121,72&page=2;;※ quantum
ſonũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=685,1304,96,64&page=2;;※ sonum
⁊;file:Zaborowski_MBC.djvu?djvuopts=&highlight=861,1310,30,55&page=2;; ※ et
eadē;file:Zaborowski_MBC.djvu?djvuopts=&highlight=893,1316,95,43&page=2;;※ eadem
cõſillabica;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1108,1310,174,55&highlight=432,1241,55,64&page=2;;※ consillabica
ꝓnũciet᷑;file:Zaborowski_MBC.djvu?djvuopts=&highlight=733,1247,168,60&page=2;;※ pronuncietur
Nä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=911,1241,88,64&page=2;;※ nam
etiä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=999,1252,78,52&page=2;;※ etiam
⁊;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1079,1248,24,57&page=2;; ※ et
ſcꝺ̇ꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1105,1247,80,58&page=2;;※ secundum
grämaticos;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1182,1244,103,63&highlight=441,1186,169,56&page=2;;※ grammaticos
hn̄t;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1027,1181,93,66&page=2;;※ habent
nä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=436,1113,87,76&page=2;;※ nam
aliqñ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=967,1130,112,59&page=2;;※ aliquando
acuit᷑;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1080,1126,103,50&page=2;;※ acuitur,
aliqñ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1200,1126,77,56&highlight=430,1055,71,60&page=2;; ※ aliquando
grauat᷑;file:Zaborowski_MBC.djvu?djvuopts=&highlight=503,1057,133,59&page=2;;※ grauatur.
siꝉir;file:Zaborowski_MBC.djvu?djvuopts=&highlight=638,1061,114,65&page=2;;※ similiter
aliqñ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1008,1069,117,55&page=2;;※ aliquando
aliqñ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=440,989,107,71&page=2;;※ aliquando
