wydanie 1;file:Zaborowski_MBC.djvu;Egzemplarz A;※ A
strony A;file:Zaborowski_MBC.djvu?djvuopts&page=1;Egzemplarz A;※ 1
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=442,1338,50,60&page=1;;※ ⁊
Polonicum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=669,1342,248,63&page=1;;※ polonicũ
quam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=456,1261,77,84&page=1;;※ q̄ꝫ̄
Carmen;file:Zaborowski_MBC.djvu?djvuopts=&highlight=202,1225,135,65&page=1;;※ carmē
Sarmaticam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=145,1167,243,66&page=1;;※ sarmaticã
modum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=683,1174,141,54&page=1;;※ modū
propera;file:Zaborowski_MBC.djvu?djvuopts=&highlight=388,950,128,52&page=1;;※ ꝓpera
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=526,954,35,52&page=1;;※ &
manibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=561,954,133,58&page=1;;※ mãibꝰ
libellum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=850,944,150,63&page=1;;※ libellũ
formam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=366,896,145,54&page=1;;※ formã
qui;file:Zaborowski_MBC.djvu?djvuopts=&highlight=503,884,53,66&page=1;;※ ꝗ
atque;file:Zaborowski_MBC.djvu?djvuopts=&highlight=675,897,67,54&page=1;;※ at
vtque;file:Zaborowski_MBC.djvu?djvuopts=&highlight=165,822,101,85&page=1;;※ vt
tuae;file:Zaborowski_MBC.djvu?djvuopts=&highlight=431,830,80,60&page=1;;※ tuę
quaelibet;file:Zaborowski_MBC.djvu?djvuopts=&highlight=510,833,163,53&page=1;;※ quęlibet
enim;file:Zaborowski_MBC.djvu?djvuopts=&highlight=379,717,80,62&page=1;;※ em̃
caeli;file:Zaborowski_MBC.djvu?djvuopts=&highlight=450,721,76,62&page=1;;※ cęli
sarmaticaque;file:Zaborowski_MBC.djvu?djvuopts=&highlight=598,648,242,81&page=1;;※ sarmatica
strony A;file:Zaborowski_MBC.djvu?djvuopts&page=2;Egzemplarz A;※ 2
scribendi;file:Zaborowski_MBC.djvu?djvuopts=&highlight=765,1625,149,46&page=2;;※ ſcribẽdi
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=911,1625,46,49&page=2;;※ ⁊
Polonicum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1099,1614,183,63&page=2;;※ polonicũ
quam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=813,1546,51,68&page=2;;※ qꝫ̈
vtilissimus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=862,1562,185,46&page=2;;※ vriliimꝰ
uiginti;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1051,1560,143,57&page=2;;※ uigīti
nomine;file:Zaborowski_MBC.djvu?djvuopts=&highlight=665,1497,88,51&page=2;;※ noĩe
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=759,1497,37,45&page=2;;※ ⁊
differentes;file:Zaborowski_MBC.djvu?djvuopts=&highlight=913,1496,192,52&page=2;;※ differẽtes
ponunt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1209,1488,77,68&highlight=436,1428,90,62&page=2;;※ ponũt
quia;file:Zaborowski_MBC.djvu?djvuopts=&highlight=570,1362,52,71&page=2;;※ q̇a
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=625,1373,30,44&page=2;;※ ⁊
nostrum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=650,1370,98,50&page=2;;※ nr̃m
potest;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1131,1365,71,59&page=2;;※ põt
quantum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=506,1301,121,72&page=2;;※ qnätũ
sonum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=685,1304,96,64&page=2;;※ ſonũ
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=861,1310,30,55&page=2;;※ ⁊
eadem;file:Zaborowski_MBC.djvu?djvuopts=&highlight=893,1316,95,43&page=2;;※ eadē
consillabica;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1108,1310,174,55&highlight=432,1241,55,64&page=2;;※ cõſillabica
pronuncietur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=733,1247,168,60&page=2;;※ ꝓnũciet᷑
nam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=911,1241,88,64&page=2;;※ Nä
etiam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=999,1252,78,52&page=2;;※ etiä
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1079,1248,24,57&page=2;;※ ⁊
secundum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1105,1247,80,58&page=2;;※ ſcꝺ̇ꝫ
grammaticos;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1182,1244,103,63&highlight=441,1186,169,56&page=2;;※ grämaticos
habent;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1027,1181,93,66&page=2;;※ hn̄t
nam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=436,1113,87,76&page=2;;※ nä
aliquando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=967,1130,112,59&page=2;;※ aliqñ
acuitur,;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1080,1126,103,50&page=2;;※ acuit᷑
aliquando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1200,1126,77,56&highlight=430,1055,71,60&page=2;;※ aliqñ
grauatur.;file:Zaborowski_MBC.djvu?djvuopts=&highlight=503,1057,133,59&page=2;;※ grauat᷑
similiter;file:Zaborowski_MBC.djvu?djvuopts=&highlight=638,1061,114,65&page=2;;※ siꝉir
aliquando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1008,1069,117,55&page=2;;※ aliqñ
aliquando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=440,989,107,71&page=2;;※ aliqñ
grauatur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=546,1001,136,48&page=2;;※ grauat᷑
item;file:Zaborowski_MBC.djvu?djvuopts=&highlight=692,995,76,66&page=2;;※ itẽ
aliquando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1062,1007,103,56&page=2;;※ aliqñ
acuitur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1166,1004,116,49&page=2;;※ acuit᷑
aliquando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=441,934,100,63&page=2;;※ alicqñ
grauatur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=546,940,139,47&page=2;;※ grauat᷑
aliquando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=698,941,106,49&page=2;;※ aliqñ
circumflectitur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=805,947,197,40&page=2;;※ circũectit᷑
similiter;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1022,943,75,60&page=2;;※ ſiꝉir
aliquando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=518,872,103,54&page=2;;※ aliq̃n
acuitur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=624,877,103,51&page=2;;※ acuit᷑
aliquando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=742,881,103,48&page=2;;※ aliqñ
grauatur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=842,880,140,54&page=2;;※ grauat᷑
aliquando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1007,880,103,54&page=2;;※ aliqñ
circumflectitur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1116,885,156,49&highlight=432,811,80,61&page=2;;※ circũcrit᷑
similiter;file:Zaborowski_MBC.djvu?djvuopts=&highlight=516,809,114,69&page=2;;※ siꝉir
consonantes;file:Zaborowski_MBC.djvu?djvuopts=&highlight=636,817,188,55&page=2;;※ cõſonätes
quedam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=830,820,123,48&page=2;;※ quedä
triplicem;file:Zaborowski_MBC.djvu?djvuopts=&highlight=959,822,140,55&page=2;;※ triplicē
habent;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1099,825,120,47&page=2;;※ habẽt
sonum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1228,825,51,49&highlight=435,757,66,51&page=2;;※ ſonũ
quedam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=499,754,140,46&page=2;;※ quedä
duplicem;file:Zaborowski_MBC.djvu?djvuopts=&highlight=635,760,153,45&page=2;;※ ꝺuplicẽ
enim;file:Zaborowski_MBC.djvu?djvuopts=&highlight=973,757,64,52&page=2;;※ em̃
litterarum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1047,757,153,52&page=2;;※ literarũ
compositione;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1206,757,71,57&highlight=429,677,170,74&page=2;;※ cõpoſitiõe
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1017,703,30,45&page=2;;※ ⁊
maxime;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1045,702,114,52&page=2;;※ maxīe
abreuiatione;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1203,693,73,67&highlight=436,622,180,63&page=2;;※ abreuiatiōe
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=612,627,32,56&page=2;;※ ⁊
productione;file:Zaborowski_MBC.djvu?djvuopts=&highlight=653,628,180,58&page=2;;※ ꝓductiōe
vocalium;file:Zaborowski_MBC.djvu?djvuopts=&highlight=827,622,152,66&page=2;;※ vocaliū
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=993,630,27,53&page=2;;※ ⁊
quamquam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1014,619,108,78&page=2;;※ ̈̈
ipsi;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1119,634,61,66&page=2;;※ ip̄i
acutarum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=486,567,163,53&page=2;;※ acutarū
vocalium;file:Zaborowski_MBC.djvu?djvuopts=&highlight=641,568,150,51&page=2;;※ vocaliū
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=795,576,27,43&page=2;;※ ⁊
grauium;file:Zaborowski_MBC.djvu?djvuopts=&highlight=822,571,139,49&page=2;;※ grauiū
scribendo;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1004,570,161,61&page=2;;※ ſcribẽdo
nullam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1162,573,112,50&page=2;;※ nullã
faciant;file:Zaborowski_MBC.djvu?djvuopts=&highlight=438,498,109,64&page=2;;※ faciāt
differentiam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=544,499,115,57&page=2;;※ ꝺꝛ̃am
pro;file:Zaborowski_MBC.djvu?djvuopts=&highlight=665,501,48,53&page=2;;※ ꝓ
quia;file:Zaborowski_MBC.djvu?djvuopts=&highlight=761,499,63,65&page=2;;※ q̇a
earum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=876,511,97,53&page=2;;※ earũ
quantitate;file:Zaborowski_MBC.djvu?djvuopts=&highlight=977,508,183,62&page=2;;※ quātitate
sufficientes;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1162,516,104,55&highlight=443,438,112,66&page=2;;※ ſufficiẽntes
atque;file:Zaborowski_MBC.djvu?djvuopts=&highlight=556,433,89,66&page=2;;※ atqꝫ
habent;file:Zaborowski_MBC.djvu?djvuopts=&highlight=811,445,77,63&page=2;;※ hn̄t
per;file:Zaborowski_MBC.djvu?djvuopts=&highlight=513,370,51,60&page=2;;※ ꝑ
presupponunt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=707,381,218,60&page=2;;※ p̄ſupponũt
etiam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=939,389,80,44&page=2;;※ etiā
litterarum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1019,384,164,63&page=2;;※ litteraũ
strony A;file:Zaborowski_MBC.djvu?djvuopts&page=3;Egzemplarz A;※ 3
dictionibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=304,1674,172,55&page=3;;※ ꝺictioibꝰ
non;file:Zaborowski_MBC.djvu?djvuopts=&highlight=470,1675,55,43&page=3;;※ nõ
multum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=532,1675,126,51&page=3;;※ multũ
discrepant;file:Zaborowski_MBC.djvu?djvuopts=&highlight=656,1674,175,55&page=3;;※ ꝺiſcrepãt
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=847,1675,30,46&page=3;;※ ⁊
ideo;file:Zaborowski_MBC.djvu?djvuopts=&highlight=877,1671,90,62&page=3;dziwny znak;※ iꝺo
additis;file:Zaborowski_MBC.djvu?djvuopts=&highlight=810,1613,129,52&page=3;;※ additꝭ
ipsi;file:Zaborowski_MBC.djvu?djvuopts=&highlight=103,1537,76,66&page=3;;※ ip̃i
scribunt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=290,1541,128,61&page=3;;※ ſcribũt
tamen;file:Zaborowski_MBC.djvu?djvuopts=&highlight=762,1539,56,64&page=3;;※ tñ
prosodie;file:Zaborowski_MBC.djvu?djvuopts=&highlight=896,1485,63,60&highlight=103,1410,116,71&page=3;;※ ꝓſodie
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=456,1419,34,54&page=3;;※ ⁊
et;file:Zaborowski_MBC.djvu?djvuopts=&highlight=822,1426,39,47&page=3;;※ ⁊
quantum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=362,1359,121,52&page=3;;※ quātū
denotetur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=700,1363,152,52&page=3;;※ ꝺenotet᷑
