B;file:Zaborowski_Polona.djvu;Egzemplarz B; ※ wydanie 2
1;file:Zaborowski_Polona.djvu?djvuopts=&highlight=966,2002,70,68&page=1;; strony B
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=966,2002,70,68&page=1;; ※ et
Polonicũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=602,1952,216,63&page=1;;※ Polonicum
̈;file:Zaborowski_Polona.djvu?djvuopts=&highlight=957,1936,66,61&page=1;;※ quam
Ioãnis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=652,1833,143,64&page=1;;※ Ioannis
Bodmanẽſis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=973,1822,268,75&page=1;;※ Bodmanensis
iuuentutẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=795,1765,235,78&page=1;sic! błąd Urbańczyka?;※ iuuentututem
modũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1080,1768,154,56&page=1;;※ modum
Cãdida;file:Zaborowski_Polona.djvu?djvuopts=&highlight=425,1654,170,70&page=1;;※ Candida
ꝟtutis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=589,1656,138,57&page=1;; ※ virtutis
ꝓpera;file:Zaborowski_Polona.djvu?djvuopts=&highlight=655,1536,136,54&page=1;;※ propera
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=802,1527,59,72&page=1;; ※ et
manibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=857,1524,175,75&page=1;;※ manibus
libellũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1193,1520,66,59&highlight=1134,1463,127,73&page=1;;※ libellum
formã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=580,1477,131,61&page=1;;※ formam
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=725,1472,41,55&page=1;;※ qui
at;file:Zaborowski_Polona.djvu?djvuopts=&highlight=891,1465,82,71&page=1;;※ atque
modũ';file:Zaborowski_Polona.djvu?djvuopts=&highlight=984,1472,139,59&page=1;;※ modum
vt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=423,1418,102,63&page=1;;※ vtque
tuę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=698,1409,84,75&page=1;Urbańczyk:tuę;※  tuae
q̃libet;file:Zaborowski_Polona.djvu?djvuopts=&highlight=759,1415,164,71&page=1;Urbańczyk:quęlibet;※  quaelibet
nũc;file:Zaborowski_Polona.djvu?djvuopts=&highlight=805,1347,90,71&page=1;;※ nunc
Quicꝗd;file:Zaborowski_Polona.djvu?djvuopts=&highlight=405,1306,186,71&page=1;;※ Quicquid
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=584,1300,84,56&page=1;;※ enim
cęli;file:Zaborowski_Polona.djvu?djvuopts=&highlight=680,1302,84,68&page=1;Urbańczyk:cęli; ※ ceali
sarmatica;file:Zaborowski_Polona.djvu?djvuopts=&highlight=839,1227,270,77&page=1;;※ sarmaticaque
2;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1489,2669,59,75&page=2;; ※ strony B
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1489,2669,59,75&page=2;; ※ et
