tuę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=698,1409,84,75&page=1;Urbańczyk:tuę;※  tuae
q̃libet;file:Zaborowski_Polona.djvu?djvuopts=&highlight=759,1415,164,71&page=1;Urbańczyk:quęlibet;※  quaelibet
cęli;file:Zaborowski_Polona.djvu?djvuopts=&highlight=680,1302,84,68&page=1;Urbańczyk:cęli; ※ ceali
hęc;file:Zaborowski_Polona.djvu?djvuopts=&highlight=464,1072,91,68&page=2;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ haec
gręca;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1464,2620,120,70&highlight=207,2574,52,57&page=3;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeca
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1218,2381,96,75&page=4; Urbańczyk:que?;※ quae
gręco;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1316,1145,139,55&page=4;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeco
gręco;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1507,966,134,59&page=4;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeco
ſępenũero;file:Zaborowski_Polona.djvu?djvuopts=&highlight=559,795,252,80&page=4;8+2 Urbańczyk: sępenumero;※ saepenumero
gręco;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1295,2013,155,70&page=5;Urbańczyk: ę; ※ greaco
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1455,1368,109,54&page=5; Urbańczyk:que?;※ quae
hęc;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1470,1193,85,61&page=5;sic? ;※ haec
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1130,2308,104,73&page=6;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ que
gręcum;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1707,2308,88,62&highlight=416,2251,111,71&page=6;+1; ※ graecum
gręcũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=723,2077,120,65&page=6;+2 Urbańczyk: gręcum?;※ graecum
gręcis.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=632,2017,132,66&page=6;+1; ※ gręcis
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1298,1954,91,63&page=6;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ que
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=855,1838,93,77&page=6;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ que
gręcũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1543,1552,137,59&page=6;+2 Urbańczyk: gręcum;※ graecum
gręca;file:Zaborowski_Polona.djvu?djvuopts=&highlight=632,1370,132,75&page=6;+1; ※ graeca
gręcum;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1482,1377,163,57&page=6;+1; ※ graecum
gręcũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=425,1209,141,41&page=6;+2; ※ graecum
gręcũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=884,1145,139,55&page=6;+2 Urbańczyk: gręcum;※ graecum
gręcũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1168,886,139,91&page=6;+2; ※ graecum
gręcum;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1061,772,171,69&page=6;+2; ※ graecum
gręco;file:Zaborowski_Polona.djvu?djvuopts=&highlight=623,2213,138,63&page=7;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeco
gręca;file:Zaborowski_Polona.djvu?djvuopts=&highlight=502,904,134,68&page=7;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeca
gręcū;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1195,2192,137,69&page=9;+2 Urbańczyk: grecum;※ graecum
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=966,800,134,59&page=10;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ que
hęc;file:Zaborowski_Polona.djvu?djvuopts=&highlight=307,2672,93,57&page=11;sic!; ※ hec
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1411,2485,91,64&page=11;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ que
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=909,2258,86,59&page=11;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ que
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=305,2072,152,66&page=11;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ que
