Polonicũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=602,1952,216,63&page=1;;※ Polonicum
Ioãnis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=652,1833,143,64&page=1;;※ Ioannis
Bodmanẽſis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=973,1822,268,75&page=1;;※ Bodmanensis
iuuentutẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=795,1765,235,78&page=1;sic! błąd Urbańczyka?;※ iuuentututem
modũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1080,1768,154,56&page=1;;※ modum
Cãdida;file:Zaborowski_Polona.djvu?djvuopts=&highlight=425,1654,170,70&page=1;;※ Candida
libellũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1193,1520,66,59&highlight=1134,1463,127,73&page=1;;※ libellum
formã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=580,1477,131,61&page=1;;※ formam
modũ';file:Zaborowski_Polona.djvu?djvuopts=&highlight=984,1472,139,59&page=1;;※ modum
q̃libet;file:Zaborowski_Polona.djvu?djvuopts=&highlight=759,1415,164,71&page=1;Urbańczyk:quęlibet;※  quaelibet
nũc;file:Zaborowski_Polona.djvu?djvuopts=&highlight=805,1347,90,71&page=1;;※ nunc
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=584,1300,84,56&page=1;;※ enim
Polonicũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=800,2620,218,70&page=2;;※ Polonicum
̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1182,2608,68,68&page=2;;※ quam
diﬀerẽtes;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1441,2547,218,82&page=2;;※ differentes
ponũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1764,2547,75,68&highlight=843,2501,82,64&page=2;;※ ponunt
noﬅũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=950,2438,139,70&page=2;;※ nostrum
põt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1489,2431,118,73&page=2;;※ potest
quãtũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1714,2422,131,84&page=2;;※ quantum
eadẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1205,2379,113,63&page=2;;※ eadem
etiã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1386,2313,103,70&page=2;;※ etiam
grãmaticos;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1664,2311,170,68&highlight=834,2261,116,61%09&page=2;;※ grammaticos
habẽt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1416,2256,159,70&page=2;;※ habent
aliquãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=964,2208,200,64&page=2;;※ aliquando
aliquãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1318,2197,196,64&page=2;;※ aliquando
aliquãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=736,2149,225,68&page=2;;※ aliquando
aliquãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1107,2145,218,68&page=2;;※ aliquando
itẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1514,2145,86,68&page=2;;※ item
aliquãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=941,2090,211,64&page=2;;※ aliquando
aliquãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1364,2083,202,62&page=2;;※ aliquando
circũſ‍lec‍tit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1566,2077,275,72&page=2;;※ circumflectitur
aliquãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=916,2033,204,53&page=2;;※ aliquando
aliqnãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1300,2011,193,81&page=2;;※ aliquando
circũf‍lec‍tinr;file:Zaborowski_Polona.djvu?djvuopts=&highlight=543,1963,275,57&page=2;sic!;※ circumflectitur
quedã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1318,1958,150,66&page=2;;※ quedam
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1273,1902,84,68&page=2;;※ enim
