q̄ꝫ̄;file:Zaborowski_MBC.djvu?djvuopts=&highlight=456,1261,77,84&page=1;U+0304 COMBINING MACRON;※ quam
carmē;file:Zaborowski_MBC.djvu?djvuopts=&highlight=202,1225,135,65&page=1;U+0304 COMBINING MACRON;※ Carmen
modū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=683,1174,141,54&page=1;U+0304 COMBINING MACRON;※ modum
uigīti;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1051,1560,143,57&page=2;U+0304 COMBINING MACRON;※ uiginti
eadē;file:Zaborowski_MBC.djvu?djvuopts=&highlight=893,1316,95,43&page=2;U+0304 COMBINING MACRON;※ eadem
hn̄t;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1027,1181,93,66&page=2;U+0304 COMBINING MACRON;※ habent
triplicē;file:Zaborowski_MBC.djvu?djvuopts=&highlight=959,822,140,55&page=2;U+0304 COMBINING MACRON;※ triplicem
maxīe;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1045,702,114,52&page=2;U+0304 COMBINING MACRON;※ maxime
abreuiatiōe;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1203,693,73,67&highlight=436,622,180,63&page=2;U+0304 COMBINING MACRON;※ abreuiatione
ꝓductiōe;file:Zaborowski_MBC.djvu?djvuopts=&highlight=653,628,180,58&page=2;U+0304 COMBINING MACRON;※ productione
vocaliū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=827,622,152,66&page=2;U+0304 COMBINING MACRON;※ vocalium
ip̄i;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1119,634,61,66&page=2;U+0304 COMBINING MACRON;※ ipsi
acutarū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=486,567,163,53&page=2;U+0304 COMBINING MACRON;※ acutarum
vocaliū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=641,568,150,51&page=2;U+0304 COMBINING MACRON;※ vocalium
grauiū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=822,571,139,49&page=2;U+0304 COMBINING MACRON;※ grauium
faciāt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=438,498,109,64&page=2;U+0304 COMBINING MACRON;※ faciant
quātitate;file:Zaborowski_MBC.djvu?djvuopts=&highlight=977,508,183,62&page=2;U+0304 COMBINING MACRON;※ quantitate
hn̄t;file:Zaborowski_MBC.djvu?djvuopts=&highlight=811,445,77,63&page=2;U+0304 COMBINING MACRON;※ habent
p̄ſupponũt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=707,381,218,60&page=2;U+0304 COMBINING MACRON;※ presupponunt
etiā;file:Zaborowski_MBC.djvu?djvuopts=&highlight=939,389,80,44&page=2;U+0304 COMBINING MACRON;※ etiam
quātū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=362,1359,121,52&page=3;U+0304 COMBINING MACRON;※ quantum
maxīe;file:Zaborowski_MBC.djvu?djvuopts=&highlight=865,1362,94,60&highlight=112,1296,62,57&page=3;U+0304 COMBINING MACRON;※ maxime
lr̄a;file:Zaborowski_MBC.djvu?djvuopts=&highlight=229,1292,61,66&page=3;U+0304 COMBINING MACRON;※ littera
eadā;file:Zaborowski_MBC.djvu?djvuopts=&highlight=668,1173,96,57&page=3;U+0304 COMBINING MACRON;※ eadem
eiſdē;file:Zaborowski_MBC.djvu?djvuopts=&highlight=189,991,104,57&page=3;U+0304 COMBINING MACRON;※ eisdem
lr̄is;file:Zaborowski_MBC.djvu?djvuopts=&highlight=287,994,81,48&page=3;U+0304 COMBINING MACRON;※ litteris
ſcribūt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=613,972,138,76&page=3;U+0304 COMBINING MACRON;※ scribuntur
tn̄;file:Zaborowski_MBC.djvu?djvuopts=&highlight=892,987,70,60&page=3;U+0304 COMBINING MACRON;※ tamen
catū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=142,928,123,57&page=3;U+0304 COMBINING MACRON;※ significatum
catū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=111,861,122,69&page=3;U+0304 COMBINING MACRON;※ significatum
equidē;file:Zaborowski_MBC.djvu?djvuopts=&highlight=231,869,139,51&page=3;U+0304 COMBINING MACRON;※ equidem
cōﬅabāt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=598,868,160,64&page=3;U+0304 COMBINING MACRON;※ constabant
ﬅeterūt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=797,869,150,60&page=3;U+0304 COMBINING MACRON;※ steterunt
ntī;file:Zaborowski_MBC.djvu?djvuopts=&highlight=323,812,62,50&page=3;U+0304 COMBINING MACRON;※ nominativi
ſscribūt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=476,749,134,55&page=3;U+0304 COMBINING MACRON;※ scribuntur
latinarū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=372,680,164,57&page=3;U+0304 COMBINING MACRON;※ latinarum
aliarū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=186,631,141,39&page=3;U+0304 COMBINING MACRON;※ aliarum,
borū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=828,557,115,58&page=3;U+0304 COMBINING MACRON;※ borum
ꝺꝛ̄ias;file:Zaborowski_MBC.djvu?djvuopts=&highlight=106,499,115,55&page=3;U+0304 COMBINING MACRON;※ differentias
nō;file:Zaborowski_MBC.djvu?djvuopts=&highlight=587,500,62,51&page=3;U+0304 COMBINING MACRON;※ non
parū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=648,490,102,61&page=3;U+0304 COMBINING MACRON;※ parum
multū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=534,436,131,51&page=3;U+0304 COMBINING MACRON;※ multum
ꝺictionū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=600,366,167,65&page=3;U+0304 COMBINING MACRON;※ dictionum
ꝺꝛ̄ia;file:Zaborowski_MBC.djvu?djvuopts=&highlight=762,371,111,59&page=3;U+0304 COMBINING MACRON;※ differentiam
pingebāt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=630,1577,180,73&page=4;U+0304 COMBINING MACRON;※ pingebant
cōſonātes;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1014,1577,201,70&page=4;U+0304 COMBINING MACRON;※ consonantes
bꝛeuē;file:Zaborowski_MBC.djvu?djvuopts=&highlight=818,1086,111,61&page=4;U+0304 COMBINING MACRON;※ breuem
cōpendioſaꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=960,1080,242,59&page=4;-m;※ compendiosam
hāc;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1196,1079,102,58&page=4;U+0304 COMBINING MACRON;※ hanc
obuãdū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=989,958,192,61&page=4;U+0304 COMBINING MACRON;※ obseruandum
latȋ̄s;file:Zaborowski_MBC.djvu?djvuopts=&highlight=880,835,109,68&page=4;U+0304 COMBINING MACRON;※ latinis
p̄tim;file:Zaborowski_MBC.djvu?djvuopts=&highlight=864,716,127,69&page=4;U+0304 COMBINING MACRON;※ presertim
ſiꝉimō;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1026,718,129,66&page=4;U+0304 COMBINING MACRON;※ simili modo
latinarū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1111,588,167,63&page=4;U+0304 COMBINING MACRON;※ latinarum
earū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1127,522,75,64&page=4;U+0304 COMBINING MACRON;※ earum
curādi;file:Zaborowski_MBC.djvu?djvuopts=&highlight=440,463,130,68&page=4;U+0304 COMBINING MACRON;※ curandi
mutēt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=661,466,122,60&page=4;U+0304 COMBINING MACRON;※ mutent
em̄;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1099,469,68,60&page=4;U+0304 COMBINING MACRON;※ enim
tn̄;file:Zaborowski_MBC.djvu?djvuopts=&highlight=688,397,68,68&page=4;U+0304 COMBINING MACRON;※ tamen
nouū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=530,1678,107,57&page=5;U+0304 COMBINING MACRON;※ nouum
