qꝫ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=813,1546,51,68&page=2;U+0308 COMBINING DIAERESIS;※ quam
qnätũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=506,1301,121,72&page=2;U+0308 COMBINING DIAERESIS;※ quantum
Nä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=911,1241,88,64&page=2;U+0308 COMBINING DIAERESIS;※ nam
etiä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=999,1252,78,52&page=2;U+0308 COMBINING DIAERESIS;※ etiam
grämaticos;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1182,1244,103,63&highlight=441,1186,169,56&page=2;U+0308 COMBINING DIAERESIS;※ grammaticos
nä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=436,1113,87,76&page=2;U+0308 COMBINING DIAERESIS;※ nam
cõſonätes;file:Zaborowski_MBC.djvu?djvuopts=&highlight=636,817,188,55&page=2;U+0308 COMBINING DIAERESIS;※ consonantes
quedä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=830,820,123,48&page=2;U+0308 COMBINING DIAERESIS;※ quedam
quedä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=499,754,140,46&page=2;U+0308 COMBINING DIAERESIS;※ quedam
̈̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1014,619,108,78&page=2;U+0308 COMBINING DIAERESIS;※ quamquam
geminabät;file:Zaborowski_MBC.djvu?djvuopts=&highlight=860,1640,207,59&page=4;U+0308 COMBINING DIAERESIS;※ geminabant
excedebät;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1037,1330,190,56&page=4;U+0308 COMBINING DIAERESIS;※ excedebant
q̈ſi;file:Zaborowski_MBC.djvu?djvuopts=&highlight=893,926,80,65&highlight=104,876,46,58&page=5;U+0308 COMBINING DIAERESIS;※ quasi
nä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=649,1674,61,59&page=5;U+0308 COMBINING DIAERESIS;※ nam
ſignät;file:Zaborowski_MBC.djvu?djvuopts=&highlight=525,1539,135,72&page=5;U+0308 COMBINING DIAERESIS;※ signant
ſonätes;file:Zaborowski_MBC.djvu?djvuopts=&highlight=120,1433,155,50&page=5;U+0308 COMBINING DIAERESIS;※ sonantes
q̈ſi;file:Zaborowski_MBC.djvu?djvuopts=&highlight=340,1055,69,68&page=5;U+0308 COMBINING DIAERESIS;※ quasi
etiä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=149,993,83,59&page=5;U+0308 COMBINING DIAERESIS; ※ etiam
nũ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1052,551,107,70&page=6;U+0308 COMBINING DIAERESIS;※ nunquam
ſup̈poſito;file:Zaborowski_MBC.djvu?djvuopts=&highlight=316,549,187,67&page=7;U+0308 COMBINING DIAERESIS;※ supraposito
̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1051,1600,62,70&page=8;U+0308 COMBINING DIAERESIS;※ quam
ta̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1175,971,94,81&page=8;U+0308 COMBINING DIAERESIS;※ tamquam
aüt;file:Zaborowski_MBC.djvu?djvuopts=&highlight=88,1626,70,72&page=9;U+0308 COMBINING DIAERESIS;※ autem
ꝛc̈.;file:Zaborowski_MBC.djvu?djvuopts=&highlight=274,1500,62,62&page=9;U+0308 COMBINING DIAERESIS;※ etc.
⁊c̈.;file:Zaborowski_MBC.djvu?djvuopts=&highlight=272,1443,53,64&page=9;U+0308 COMBINING DIAERESIS;※ etc.
regulä;file:Zaborowski_MBC.djvu?djvuopts=&highlight=127,1324,131,51&page=9;U+0308 COMBINING DIAERESIS;※ regulam
nũqꝫ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=768,1255,100,57&page=9;U+0308 COMBINING DIAERESIS;※ nunquam
⁊c̈.;file:Zaborowski_MBC.djvu?djvuopts=&highlight=660,950,60,58&page=9;U+0308 COMBINING DIAERESIS;※ etc.
qꝫ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=499,1601,65,74&page=10;U+0308 COMBINING DIAERESIS;※ quam
nũqꝫ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=501,1552,115,60&page=10;U+0308 COMBINING DIAERESIS;※ numquam
