ꝓpera;file:Zaborowski_Polona.djvu?djvuopts=&highlight=655,1536,136,54&page=1;;※ propera
ꝓ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1211,1718,59,70&page=2;;※ pro
ꝓfeo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1155,2322,163,77&page=3;;※ profecto
ꝓprĳs;file:Zaborowski_Polona.djvu?djvuopts=&highlight=284,1920,157,66&page=3;;※ propriis
ꝓprium;file:Zaborowski_Polona.djvu?djvuopts=&highlight=627,1795,184,61&page=3;;※ proprium
ꝓprio;file:Zaborowski_Polona.djvu?djvuopts=&highlight=659,1561,152,66&page=3;;※ proprio
ꝓprĳs;file:Zaborowski_Polona.djvu?djvuopts=&highlight=866,1443,154,68&page=3;;※ propriis
ꝓlatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1009,797,159,62&page=3;;※ perlatum
ꝓprio;file:Zaborowski_Polona.djvu?djvuopts=&highlight=859,2031,155,80&page=4;;※ proprio
ꝓ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1257,1313,50,64&page=4;;※ pro
ꝓpria;file:Zaborowski_Polona.djvu?djvuopts=&highlight=820,1197,132,68&page=4;;※ propria
ꝓprĳs;file:Zaborowski_Polona.djvu?djvuopts=&highlight=993,788,155,55&page=4;;※ propriis
ꝓpriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1105,2488,152,66&page=5;;※ proprium
ꝓpriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=189,970,131,57&page=5;;※ proprium
ꝓprius;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1239,836,163,61&page=5;;※ proprius
ꝓut;file:Zaborowski_Polona.djvu?djvuopts=&highlight=559,2274,89,59&page=7;;※ prout
ꝓiea;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1414,1868,166,70&page=7;;※ proiecta
ꝓpriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1634,2431,148,79&page=8;;※ proprium
ꝓpriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=984,1204,146,61&page=8;;※ proprium
ꝓpriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1498,1020,143,64&page=8;;※ proprium
ꝓprio;file:Zaborowski_Polona.djvu?djvuopts=&highlight=661,2601,150,66&page=9;;※ proprio
ꝓ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=195,2485,48,71&page=9;;※ per
ꝓ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=575,1072,57,73&page=10;;※ pro
ꝓphetarum;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1274,1494,262,62&page=11;;※ prophetarum
