q̄ꝫ̄;file:Zaborowski_MBC.djvu?djvuopts=&highlight=456,1261,77,84&page=1;;※ quam
qꝫ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=813,1546,51,68&page=2;;※ quam
ſcꝺ̇ꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1105,1247,80,58&page=2;;※ secundum
atqꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=556,433,89,66&page=2;;※ atque
plerũqꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=560,1109,152,67&page=3;;※ plerumque
fcꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=529,869,67,61&page=3;;※ scilicet
eiſdeꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=278,740,113,60&page=3;-m;※ eisdem
tamtũqꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=449,1390,162,70&page=4;;※ tantumque
atqꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=681,1210,89,57&page=4;;※ atque
atꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=565,1083,68,71&page=4;;※ atque
cōpendioſaꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=960,1080,242,59&page=4;-m;※ compendiosam
paruꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=860,528,119,68&page=4;-m;※ parum
lr̃aꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1192,389,97,77&page=4;sic! -m;※ litteras
vcꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=361,1173,76,71&page=5;;※ videlicet
habꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=834,1108,101,68&page=5;;※ habet
vcꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=681,932,81,60&page=5;;※ videlicet
vcꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=874,613,80,62&page=5;;※ videlicet
patꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=584,489,85,62&page=5;;※ patet
aſpiratiõeꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=824,1673,90,57&highlight=48,1601,187,60&page=7;-m;※ aspirationem
aliaruꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=755,1294,146,64&page=7;-m;※ aliarum
pꝛ̃eꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=769,1116,84,52&page=7;;※ patrem
vcꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=583,554,78,58&page=7;;※ videlicet
vtrunqꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=732,416,163,63&page=7;;※ vtrumque
cōeꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=870,1533,88,71&page=8;-m;※ communem
quidaꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1109,1285,157,77&page=8;-m;※ quidam
fcꝺ̇ꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=707,1111,95,59&page=8;-m;※ secundum
cuꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=834,1630,54,56&page=9;-m;※ cum
ieiuniuꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=713,1502,147,60&page=9;;※ ieiunium
nũqꝫ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=768,1255,100,57&page=9;;※ nunquam
quideꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=736,693,132,62&page=9;;※ quidem
nāqꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=916,1666,103,76&page=10;;※ namque
qꝫ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=499,1601,65,74&page=10;;※ quam
nũqꝫ̈;file:Zaborowski_MBC.djvu?djvuopts=&highlight=501,1552,115,60&page=10;;※ numquam
