manibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=857,1524,175,75&page=1;U+A770 MODIFIER LETTER US;※ manibus
pluribꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1652,2485,166,82&page=2;U+A770 MODIFIER LETTER US;※ pluribus
huiꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=902,952,107,73&page=2;U+A770 MODIFIER LETTER US;※ huius
vſurpauimꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=330,1974,270,71&page=3;U+A770 MODIFIER LETTER US;※ vsurpauimus
accõmodauimꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=675,1990,343,48&page=3;U+A770 MODIFIER LETTER US;※ accomodauimus
ſignificatiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=614,1915,302,71&page=3;U+A770 MODIFIER LETTER US;※ significationibus
huiꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=325,1036,98,70&page=3;U+A770 MODIFIER LETTER US;※ huius
huiꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=730,2635,118,71&page=4;U+A770 MODIFIER LETTER US;※ huius
eiꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1730,1972,77,61&page=4;U+A770 MODIFIER LETTER US;※ eius
vulgaribꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1584,1556,214,66&page=4;U+A770 MODIFIER LETTER US;※ vulgaribus
duobꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1573,1025,134,61&page=4;U+A770 MODIFIER LETTER US;※ duobus
dic‍tiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=357,2379,207,75&page=5;U+A770 MODIFIER LETTER US;※ dictionibus
ſonꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=652,2024,109,71&page=5;U+A770 MODIFIER LETTER US;※ sonus
genꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1441,1602,145,66&page=5;U+A770 MODIFIER LETTER US;※ genus
auſ‍terꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1293,1138,162,50&page=5;U+A770 MODIFIER LETTER US;※ austerus
dic‍tiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=814,972,202,59&page=5;U+A770 MODIFIER LETTER US;※ dictionibus
vulgaribꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=245,911,207,50&page=5;U+A770 MODIFIER LETTER US;※ vulgaribus
incoIatꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1216,2672,175,68&page=6;U+A770 MODIFIER LETTER US;※ incolatus
vulgaribꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=902,2608,207,61&page=6;U+A770 MODIFIER LETTER US;※ vulgaribus
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=841,2192,195,82&page=6;U+A770 MODIFIER LETTER US;※ dictionibus
diõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=877,1743,187,52&page=6;U+A770 MODIFIER LETTER US;※ dictionibus
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=650,1259,182,61&page=6;U+A770 MODIFIER LETTER US;※ dictionibus
diiõibꝰ.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=768,1027,187,61&page=6;U+A770 MODIFIER LETTER US;※ dictionibus
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1305,1225,206,59&page=7;U+A770 MODIFIER LETTER US;※ dictionibus
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=961,1802,196,79&page=8;U+A770 MODIFIER LETTER US;※ dictionibus
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1555,1202,190,75&page=8;U+A770 MODIFIER LETTER US;※ dictionibus
duobꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=932,2254,141,63&page=9;U+A770 MODIFIER LETTER US;※ duobus
tweꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1141,952,120,75&page=9;U+A770 MODIFIER LETTER US;※ twego
wechmogα̨ceꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=652,841,353,70&page=9;U+A770 MODIFIER LETTER US;※ wssechmoga̷cego
iedineꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=757,786,173,61&page=9;U+A770 MODIFIER LETTER US;※ iedinego
naffeꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1030,779,161,66&page=9;U+A770 MODIFIER LETTER US;※ nasego
libidinibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=548,2199,234,68&page=11;U+A770 MODIFIER LETTER US;※ libidinibus
