diõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=695,1243,228,79&page=2;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ dictionibus
diiõis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1532,1193,182,66&page=2;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ dictionis
ꝓfeo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1155,2322,163,77&page=3;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ profecto
dorinã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=927,2156,193,66&page=3;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ doctrinam
diiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1155,2038,231,64&page=3;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ dictionibus
diiõis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=534,1027,168,79&page=3;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ dictionis
pũo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1148,2333,138,66&page=4;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ puncto
dionẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1334,902,175,75&page=4;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ dictionem
punis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1389,1947,184,68&page=5;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ punctis
ditiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=832,1790,229,78&page=5;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0]; ※ dictionibus
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=841,2192,195,82&page=6;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ dictionibus
diiõe;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1257,2083,150,48&page=6;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ dictione
pũis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=768,1768,125,84&page=6;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ punctis
diõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=877,1743,187,52&page=6;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ dictionibus
diiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1568,1668,227,68&page=6;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ dictionibus
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=650,1259,182,61&page=6;M+EEC5 LATIN SMALL LIGATURE CT [MUFI 4.0];※ dictionibus
