noﬅũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=950,2438,139,70&page=2;;※ nostrum
diﬅionũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1657,904,213,50&page=2;;※ dictionum
diﬅinguẽdis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=450,1958,264,80&page=9;;※ distinguendis
apoﬅolorũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=843,891,246,65&page=9;sic!;※ apostolicum
apoﬅolorũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1245,850,239,54&page=10;;※ apostolorum
crﬅianũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=550,2479,175,70&page=11;;※ cristianum
caﬅas;file:Zaborowski_Polona.djvu?djvuopts=&highlight=818,2072,175,68&page=11;;※ castasque
exiﬅimandũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1090,1790,268,44&page=11;;※ existimandum
honeﬅũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1402,1616,200,54&page=11;;※ honestum
iuﬅũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=580,1556,116,50&page=11;;※ iustum
iniuﬅũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=818,1548,154,66&page=11;;※ iniustum
