is est;file:Zaborowski_MBC.djvu?djvuopts=&highlight=378,1608,50,46&page=17;???;i bez kropki
secundum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=707,1111,95,59&page=8;01-1;※ fcꝺ̇ꝫ
significatum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=189,1053,117,60&page=3;01-2;※ catũ
punctis;file:Zaborowski_MBC.djvu?djvuopts=&highlight=853,1541,112,64&page=5;01-3;※ pūctꝭ
similibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=492,1423,104,62&page=7;01-4;※ ſiꝉibꝰ
quod;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1227,2497,82,73&page=8;(01-5) 27a-2;※ qđ
iedinego;file:Zaborowski_Polona.djvu?djvuopts=&highlight=757,786,173,61&page=9;02_1;※ iedineꝰ
nasego;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1030,779,161,66&page=9;02_2;※ naffeꝰ
Pilatem;file:Zaborowski_Polona.djvu?djvuopts=&highlight=393,2667,137,68&page=10;02-3;※ Pilatẽ
gumno;file:Zaborowski_Polona.djvu?djvuopts=&highlight=327,1670,121,68&page=5;02-4;※ gũno.
PILCROW SIGN U+00B6;file:Zaborowski_MBC.djvu?djvuopts=&highlight=747,651,119,84&page=4;15-1; ※ ¶
CAPITULUM U+2E3F;file:Zaborowski_MBC.djvu?djvuopts=&highlight=133,1221,212,83&page=1;15-2;  ※ ⸿
PILCROW SIGN U+00B6;file:Zaborowski_Polona.djvu?djvuopts=&highlight=430,1828,235,86&page=1;15-3;  ※ ¶
BLACK RIGHT POINTING INDEX U+261B (manicule);file:Zaborowski_Polona.djvu?djvuopts=&highlight=365,856,305,90&page=8;15-4;  ※ ☛ 
MALTESE CROSS U+2720;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1349,682,60,63&page=3;17; ※ 
etc.;file:Zaborowski_MBC.djvu?djvuopts=&highlight=272,1212,73,59&page=11;18-1;※ ⁊c̈.
etc.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1327,722,109,75&page=4;18-2;※ &c.
etc.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=580,2345,84,52&page=8;18-3;※ &c̈.
quam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=802,972,53,65&page=22;19-1;※ ̈
tanquam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1133,1256,99,83&page=14;19-2;※ tã̈
nunquam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=356,783,103,80&page=13;19-3;※ nũ̈
quicquam;file:Zaborowski_Polona.djvu?djvuopts=&highlight=972,1770,114,76&page=11;19-4;※ ꝗc̈
quamquam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1014,619,108,78&page=2;19-5;※ ̈̈
tempus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1493,1606,89,68&page=4;20-1;※ tꝑus
tempus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=61,1410,92,66&page=7;20-2;※ tꝑs
sonum scilitet;file:Zaborowski_MBC.djvu?djvuopts=&highlight=679,1647,168,76&page=13;21; ※ ſonuꝫ fcꝫ
vel;file:Zaborowski_MBC.djvu?djvuopts=&highlight=487,1249,55,73&page=9;23-1;※ vꝉ
vel;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1416,2626,68,66&page=7;23-2;※ vꝉ
regula;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1172,647,109,74&page=4;23-3;※ regꝉa
populus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=466,2395,170,50&page=7;23-4;※ popꝉus
similibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1027,1986,141,59&page=7;24-1;※ fiꝉibus
vel;file:Zaborowski_Polona.djvu?djvuopts=&highlight=327,1454,78,66&page=7;24-2;※ vꝉ
similiter;file:Zaborowski_Polona.djvu?djvuopts=&highlight=584,1688,105,70&page=7;24-3;※ siꝉi
pronuncietur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=733,1247,168,60&page=2;26-1;※ ꝓnũciet᷑
propriis;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1147,772,133,63&page=4;26-2;※ ꝛĳs
propera;file:Zaborowski_Polona.djvu?djvuopts=&highlight=655,1536,136,54&page=1;26-3;※ ꝓpera
perlatum;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1009,797,159,62&page=3;26-4;※ ꝓlatũ
quia;file:Zaborowski_Polona.djvu?djvuopts=&highlight=418,1202,73,70&page=4;27-1;※ ꝗa
relinquit;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1373,1479,168,68&page=9;27-2;※ relinꝗt
quod;file:Zaborowski_Polona.djvu?djvuopts=&highlight=736,1429,57,77&page=9;27a-1;※ qđ
quod;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1227,2497,82,73&page=8; 27a-2 (01-5);※ qđ
conseruando;file:Zaborowski_MBC.djvu?djvuopts=&highlight=368,609,154,66&page=17;28-1;※ ↄuädo
confusio;file:Zaborowski_MBC.djvu?djvuopts=&highlight=446,1064,131,71&page=9;28-2;※ ↄfuſio
populus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=711,1220,118,63&page=13; 29;※ ꝉus
causa;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1241,492,71,60&page=12;30-1;※ cā
obseruandum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=989,958,192,61&page=4;30-2;※ obuãdū
manibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=561,954,133,58&page=1;30-3;※ mãibꝰ
peccata;file:Zaborowski_MBC.djvu?djvuopts=&highlight=272,501,81,49&page=21;30-4;※ pctā
ammisso;file:Zaborowski_MBC.djvu?djvuopts=&highlight=646,1665,146,65&page=7;30-5;※ āmio
significans;file:Zaborowski_MBC.djvu?djvuopts=&highlight=466,1278,97,68&page=11;30-6;※ cäs
quidam;file:Zaborowski_MBC.djvu?djvuopts=&highlight=713,1024,89,71&page=13;30-7;※ q̇dä
